,Data,Risco de Crédito,Emissor,Série,Emissão,Código,Vencimento,Índice / Correção,Taxa Compra,Taxa Venda,Taxa Indicativa,Desvio Padrão,PU,% PU Par,Duration,Referência NTNB,% Reune,Benchmark,taxa,duration_anos,Quantidade
210,2023-01-29,AGROPECUÁRIA CRESTANI LTDA.,TRUE SECURITIZADORA S/A,1ª,40ª,CRA02200ASX,2026-01-15,"IPCA + 9,0551%",9.6249,8.6246,9.1248,0.17,1040.85705223,99.91,351.68,15/05/2025,,IPCA +,9.0551,2,1
209,2023-01-29,FS INDÚSTRIA DE COMBUSTÍVEIS LTDA.,ECO SECURITIZADORA DE DIREITOS CREDITÓRIOS DO AGRONEGÓCIO S.A.,2ª,243ª,CRA02300796,2029-01-15,"IPCA + 8,9555%",8.6459,8.2194,8.4467,0.08,1040.09696745,102.18,1164.99,15/08/2028,,IPCA +,8.9555,5,1
208,2023-01-29,FS INDÚSTRIA DE BIOCOMBUSTÍVEIS LTDA.,ECO SECURITIZADORA DE DIREITOS CREDITÓRIOS DO AGRONEGÓCIO S.A.,2ª,264ª,CRA02300CCI,2029-01-17,"IPCA + 8,9%",8.6694,8.2329,8.4692,0.1,1031.54190162,101.89,1192.12,15/08/2028,,IPCA +,8.9,5,1
206,2023-01-29,ADUBOS ARAGUAIA INDÚSTRIA E COMÉRCIO LTDA.,ECO SECURITIZADORA DE DIREITOS CREDITÓRIOS DO AGRONEGÓCIO S.A.,1ª,175ª,CRA02200795,2027-01-15,"IPCA + 8,1191%",8.7908,8.0974,8.5112,0.09,1066.11996779,99.01,689.26,15/08/2026,,IPCA +,8.1191,3,1
205,2023-01-29,ÂNIMA HOLDING S.A.,VIRGO COMPANHIA DE SECURITIZACAO,2ª,76ª,22L1469805,2029-01-17,"IPCA + 8,0481%",8.5787,7.5458,7.9646,0.03,1049.40365001,100.37,1215.14,15/08/2028,,IPCA +,8.0481,5,1
204,2023-01-29,LAR COOPERATIVA AGROINDUSTRIAL,ECO SECURITIZADORA DE DIREITOS CREDITÓRIOS DO AGRONEGÓCIO S.A.,1ª,120ª,CRA021004NV,2026-01-15,"IPCA + 7,8749%",8.2928,7.6509,7.9855,0.18,1113.25278826,99.8,462.76,15/05/2025,,IPCA +,7.8749,2,1
203,2023-01-29,FS AGRISOLUTIONS INDÚSTRIA DE BIOCOMBUSTÍVEIS LTDA.,ECO SECURITIZADORA DE DIREITOS CREDITÓRIOS DO AGRONEGÓCIO S.A.,2ª,167ª,CRA022004SD,2029-01-15,"IPCA + 7,3913%",8.6422,8.0904,8.3856,0.19,1021.64319256,96.52,966.14,15/08/2028,,IPCA +,7.3913,4,1
202,2023-01-29,FS AGRISOLUTIONS INDÚSTRIA DE BIOCOMBUSTÍVEIS LTDA.,ECO SECURITIZADORA DE DIREITOS CREDITÓRIOS DO AGRONEGÓCIO S.A.,2ª,140ª,CRA022001E2,2029-01-15,"IPCA + 7,3913%",8.3165,7.7322,8.059,0.29,1072.56266936,97.79,905.97,15/05/2027,,IPCA +,7.3913,4,1
201,2023-01-29,MARFRIG GLOBAL FOODS S.A.,ECO SECURITIZADORA DE DIREITOS CREDITÓRIOS DO AGRONEGÓCIO S.A.,2ª,219ª,CRA02200C6Z,2032-01-15,"IPCA + 7,3352%",7.4611,7.0065,7.2725,0.03,1054.87809558,100.36,1530.83,15/08/2030,,IPCA +,7.3352,7,1
200,2023-01-29,TANAC S.A.,ECO SECURITIZADORA DE DIREITOS CREDITÓRIOS DO AGRONEGÓCIO S.A.,1ª,116ª,CRA021002ST,2027-01-15,"IPCA + 7,3023%",8.0498,7.6173,7.8705,0.13,898.97405494,99.04,458.42,15/05/2025,,IPCA +,7.3023,2,1
199,2023-01-29,PLUMA AGRO AVÍCOLA LTDA.,VIRGO COMPANHIA DE SECURITIZACAO,1ª,57ª,CRA021002Y8,2026-01-15,"IPCA + 7,2671%",9.6655,9.1031,9.1441,0.27,1101.26295592,97.01,440.02,15/05/2025,,IPCA +,7.2671,2,1
198,2023-01-29,MINERVA S.A.,VIRGO COMPANHIA DE SECURITIZACAO,1ª,125ª,CRA0220073P,2029-01-16,"IPCA + 7,2063%",7.2874,6.9306,7.2071,0.17,1070.13656526,100.0,1160.59,15/08/2028,,IPCA +,7.2063,5,1
197,2023-01-29,CARAMURU ALIMENTOS S.A.,ECO SECURITIZADORA DE DIREITOS CREDITÓRIOS DO AGRONEGÓCIO S.A.,1ª,172ª,CRA022006BU,2029-01-16,"IPCA + 7,2043%",8.2786,7.7214,7.9991,0.17,1026.68230761,97.71,788.41,15/05/2027,,IPCA +,7.2043,4,1
196,2023-01-29,AÇO VERDE DO BRASIL S.A.,VIRGO COMPANHIA DE SECURITIZACAO,1ª,120ª,CRA022006HE,2029-01-15,"IPCA + 7,1543%",7.8164,7.1142,7.4514,0.12,1067.55082479,98.95,960.75,15/08/2028,40%,IPCA +,7.1543,4,1
