,Data,Risco de Crédito,Emissor,Série,Emissão,Código,Vencimento,Índice / Correção,Taxa Compra,Taxa Venda,Taxa Indicativa,Desvio Padrão,PU,% PU Par,Duration,Referência NTNB,% Reune,Benchmark,taxa,duration_anos,Quantidade
978,2023-01-23,AGROPECUÁRIA CRESTANI LTDA.,TRUE SECURITIZADORA S/A,1ª,40ª,CRA02200ASX,2026-01-15,"IPCA + 9,0551%",9.8072,8.7263,9.2646,0.19,1036.92333938,99.73,355.31,15/05/2025,,IPCA +,9.0551,2,1
977,2023-01-23,FS INDÚSTRIA DE COMBUSTÍVEIS LTDA.,ECO SECURITIZADORA DE DIREITOS CREDITÓRIOS DO AGRONEGÓCIO S.A.,2ª,243ª,CRA02300796,2029-01-15,"IPCA + 8,9555%",8.6793,8.2839,8.4468,0.05,1038.13749745,102.19,1168.99,15/08/2028,,IPCA +,8.9555,5,1
976,2023-01-23,FS INDÚSTRIA DE BIOCOMBUSTÍVEIS LTDA.,ECO SECURITIZADORA DE DIREITOS CREDITÓRIOS DO AGRONEGÓCIO S.A.,2ª,264ª,CRA02300CCI,2029-01-17,"IPCA + 8,9%",8.6887,8.2914,8.4998,0.09,1028.22216295,101.76,1195.86,15/08/2028,,IPCA +,8.9,5,1
975,2023-01-23,ADUBOS ARAGUAIA INDÚSTRIA E COMÉRCIO LTDA.,ECO SECURITIZADORA DE DIREITOS CREDITÓRIOS DO AGRONEGÓCIO S.A.,1ª,175ª,CRA02200795,2027-01-15,"IPCA + 8,1191%",8.8444,8.1578,8.5295,0.22,1063.61245101,98.96,693.23,15/08/2026,,IPCA +,8.1191,3,1
974,2023-01-23,ÂNIMA HOLDING S.A.,VIRGO COMPANHIA DE SECURITIZACAO,2ª,76ª,22L1469805,2029-01-17,"IPCA + 8,0481%",8.3061,7.686,8.0749,0.05,1042.34524731,99.88,1218.22,15/08/2028,,IPCA +,8.0481,5,1
973,2023-01-23,LAR COOPERATIVA AGROINDUSTRIAL,ECO SECURITIZADORA DE DIREITOS CREDITÓRIOS DO AGRONEGÓCIO S.A.,1ª,120ª,CRA021004NV,2026-01-15,"IPCA + 7,8749%",8.2397,7.6598,7.9455,0.16,1111.99828766,99.87,466.83,15/05/2025,,IPCA +,7.8749,2,1
972,2023-01-23,FS AGRISOLUTIONS INDÚSTRIA DE BIOCOMBUSTÍVEIS LTDA.,ECO SECURITIZADORA DE DIREITOS CREDITÓRIOS DO AGRONEGÓCIO S.A.,2ª,167ª,CRA022004SD,2029-01-15,"IPCA + 7,3913%",8.6153,8.1894,8.4498,0.07,1017.41030661,96.29,969.87,15/08/2028,,IPCA +,7.3913,4,1
971,2023-01-23,FS AGRISOLUTIONS INDÚSTRIA DE BIOCOMBUSTÍVEIS LTDA.,ECO SECURITIZADORA DE DIREITOS CREDITÓRIOS DO AGRONEGÓCIO S.A.,2ª,140ª,CRA022001E2,2029-01-15,"IPCA + 7,3913%",8.3825,7.7202,8.1019,0.38,1069.0742303,97.64,909.78,15/05/2027,,IPCA +,7.3913,4,1
969,2023-01-23,TANAC S.A.,ECO SECURITIZADORA DE DIREITOS CREDITÓRIOS DO AGRONEGÓCIO S.A.,1ª,116ª,CRA021002ST,2027-01-15,"IPCA + 7,3023%",7.9471,7.5135,7.7712,0.03,898.87846227,99.2,462.72,15/05/2025,,IPCA +,7.3023,2,1
968,2023-01-23,PLUMA AGRO AVÍCOLA LTDA.,VIRGO COMPANHIA DE SECURITIZACAO,1ª,57ª,CRA021002Y8,2026-01-15,"IPCA + 7,2671%",9.569,9.0985,9.3006,0.06,1096.31057427,96.74,443.77,15/05/2025,,IPCA +,7.2671,2,1
967,2023-01-23,MINERVA S.A.,VIRGO COMPANHIA DE SECURITIZACAO,1ª,125ª,CRA0220073P,2029-01-16,"IPCA + 7,2063%",7.5185,7.0468,7.2872,0.19,1064.6398215,99.65,1164.04,15/08/2028,,IPCA +,7.2063,5,1
966,2023-01-23,CARAMURU ALIMENTOS S.A.,ECO SECURITIZADORA DE DIREITOS CREDITÓRIOS DO AGRONEGÓCIO S.A.,1ª,172ª,CRA022006BU,2029-01-16,"IPCA + 7,2043%",8.3072,7.7024,8.0535,0.39,1023.19854216,97.54,792.12,15/05/2027,,IPCA +,7.2043,4,1
965,2023-01-23,AÇO VERDE DO BRASIL S.A.,VIRGO COMPANHIA DE SECURITIZACAO,1ª,120ª,CRA022006HE,2029-01-15,"IPCA + 7,1543%",7.8233,7.1549,7.4333,0.14,1066.38770346,99.01,964.84,15/08/2028,,IPCA +,7.1543,4,1
964,2023-01-23,BCBF PARTICIPAÇÕES S.A.,VIRGO COMPANHIA DE SECURITIZACAO,2ª,62ª,22K0934880,2029-01-17,"IPCA + 7,0913%",7.2193,6.8792,7.0849,0.07,1074.2320923,100.03,1231.07,15/08/2030,,IPCA +,7.0913,5,1
963,2023-01-23,MARFRIG GLOBAL FOODS S.A.,ECO SECURITIZADORA DE DIREITOS CREDITÓRIOS DO AGRONEGÓCIO S.A.,1ª,219ª,CRA02200C6Y,2029-01-15,"IPCA + 7,0383%",7.2974,6.7684,7.107,0.16,1045.7510724,99.69,1232.12,15/08/2030,,IPCA +,7.0383,5,1
962,2023-01-23,AÇUCAREIRA QUATÁ S.A.,TRUE SECURITIZADORA S/A,1ª,16ª,CRA021002N3,2026-01-15,"IPCA + 6,9849%",7.9206,7.4059,7.6972,0.17,1102.47295723,98.25,668.48,15/08/2026,,IPCA +,6.9849,3,1
961,2023-01-23,Tenda Atacado S.A.,VIRGO COMPANHIA DE SECURITIZACAO,307ª,4ª,21J0001207,2028-01-15,"IPCA + 6,9809%",9.3309,8.8808,9.1487,0.05,1079.04349249,94.95,644.77,15/08/2026,,IPCA +,6.9809,3,1
960,2023-01-23,"VAMOS LOCAÇÃO DE CAMINHÕES, MÁQUINAS E EQUIPAMENTOS S.A. ",ECO SECURITIZADORA DE DIREITOS CREDITÓRIOS DO AGRONEGÓCIO S.A.,2ª,93ª,CRA022004S9,2037-01-15,"IPCA + 6,9739%",7.92,7.2971,7.6921,0.17,993.54438902,94.49,2120.0,15/05/2035,,IPCA +,6.9739,9,1
959,2023-01-23,BRF S.A.,VERT COMPANHIA SECURITIZADORA,2ª,78ª,CRA0220079D,2032-01-15,"IPCA + 6,8344%",7.7308,7.3877,7.588,0.04,1037.59075155,95.93,1482.77,15/08/2030,,IPCA +,6.8344,6,1
958,2023-01-23,NATURA COSMÉTICOS S.A.,VIRGO COMPANHIA DE SECURITIZACAO,2ª,54ª,22I0970804,2029-01-17,"IPCA + 6,8%",6.7732,6.3889,6.6006,0.1,1076.96891858,100.91,1221.77,15/08/2030,,IPCA +,6.8,5,1
957,2023-01-23,KLABIN S.A.,VERT COMPANHIA SECURITIZADORA,1ª,77ª,CRA022007EP,2034-01-15,"IPCA + 6,7694%",6.4959,6.2406,6.3594,0.07,1073.83766263,103.01,1946.8,15/05/2033,50%,IPCA +,6.7694,8,1
